seqid	P25307_1001_S1	P25307_1002_S2	P25307_1003_S3	P25307_1004_S4	P25307_1005_S5	P25307_1006_S6	P25307_1007_S7	P25307_1008_S8	P25307_1009_S9	P25307_1010_S10	P25307_1013_S13	P25307_1014_S14	P25307_1015_S15	P25307_1016_S16	P25307_1017_S17	P25307_1018_S18	P25307_1021_S21	P25307_1064_S64	P25307_1065_S65	P30414_1055_S55	P30414_1056_S56	P30414_1057_S57	P30414_1058_S58	P30414_1059_S59	P30414_1060_S60	P30414_1061_S61	P30414_1062_S62	P30414_1063_S63	P30414_1064_S64	P30414_1065_S65	P30414_1066_S66	P30414_1067_S67	P30414_1068_S68	P30414_1069_S69	P30414_1070_S70	P30414_1071_S71	P30414_1072_S72	P30414_1073_S73	P30414_1074_S74	P30414_1075_S75	P30414_1076_S76	P30414_1077_S77	P30414_1078_S78	P30414_1079_S79	P30414_1080_S80
951715ebf2551ecfaf886cd3b79756b2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	5	5	0	11	10	26	1512	0	3388	919	10	45	0	1	0	8	0	0	0
01b6d32a92cd742f36c74aa02420ed3a	0	0	29	0	0	20	0	0	26	35	0	0	6	0	20	0	2713	875	1188	0	0	0	0	0	0	0	172	445	69	63	0	0	0	0	0	0	42	102	0	4	0	0	0	0	0
c053fec7944d0bdc685a2f39a6595388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	39	21	13	0	7	0	3	0	0	849	1816	826	479	3	0	0	0	0	0	198	1104	0	24	44	59	37	72	35
6e739a5eaf9d1e0505236e0486c14a07	0	0	0	0	0	0	0	0	0	31	0	0	7	0	4	0	1220	466	438	16	0	10	0	0	0	0	352	1015	562	325	0	0	0	0	0	0	113	429	0	0	106	163	86	126	105
da13b1788d8da83c9b69ce3c956eaef5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	18	0	27	8	15	195	0	2098	2802	52	197	0	20	0	0	0	0	0
366647571ee4e937872d4b5d257e14e1	0	0	944	0	0	2537	0	0	1489	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
466380aae09e32cbad8159de01f1cf8a	0	0	0	0	0	0	0	0	0	17	0	0	0	0	14	0	1334	281	298	31	0	0	0	0	0	0	31	313	39	126	0	0	0	0	0	0	285	1339	0	23	277	180	245	292	304
67d9a48d1ffadbfa64d836a8eb42a245	0	0	0	0	1471	0	0	3831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10ab0086415e16c99987f836d743e7ad	0	0	389	0	0	0	0	4907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3883d8f83b890e2512d4a4c8579f6abe	36	10	151	0	4940	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a2851bb4f46b15386702b1c0d7a6f79	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	923	271	325	52	0	0	0	0	0	0	227	916	404	365	0	0	0	0	0	0	84	468	0	0	285	208	168	256	179
a98027d2a049dadb45ad5e771297c509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	24	1832	3239	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
21ca8f6222211237603d7f910b2dbe67	0	0	0	0	0	0	0	0	0	11	0	0	0	0	7	0	1722	625	768	0	0	4	0	0	0	0	118	674	364	277	10	0	0	0	0	0	60	337	0	4	7	9	7	11	6
47d011cc4bf606d64d6b234fdd3cc9f8	0	0	0	0	0	2	0	0	0	10	0	0	0	0	9	0	1817	636	589	1090	414	0	0	0	0	0	26	77	28	19	0	0	0	0	0	0	12	42	0	0	12	92	37	28	14
8a82ec0b5b722b6825a138c1a7d6cb62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	4395	0	0	0	50	120	20	12	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0
49d771e07116b4feb5bbcce2cb0731ef	0	0	1896	0	0	1533	0	0	1030	0	0	0	0	0	0	0	60	42	46	0	0	0	0	0	0	0	37	61	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c3391427c5a1564bf20bb7930b5e1fd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	43	29	18	0	16	0	2	0	0	238	1920	321	215	0	0	0	0	0	0	246	1068	0	51	118	69	31	55	49
3638f2062c305c79df283ef573a10b97	0	0	0	0	0	0	0	0	12	0	748	733	560	0	0	0	12	8	0	0	0	8	0	0	911	1574	0	0	0	0	0	0	0	10	0	0	3	5	0	0	0	0	0	0	0
a3a78bb993f53b10c00387850a4aa226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	56	64	48	0	0	0	0	0	0	281	971	436	328	12	0	0	0	0	0	125	742	0	34	303	237	179	247	238
53fe663219397f3c95e9fa9d48a80358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	984	3435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
dc304e7bd59e143d419bafda5dd442b5	0	0	198	0	0	0	0	0	645	0	0	0	0	0	0	0	100	48	32	0	0	12	0	0	0	0	256	1108	349	221	0	0	0	0	0	0	155	1069	0	39	28	44	29	21	19
0360675401381e45ad5a4b04b06a3221	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	30	0	0	0	0	38	201	2818	22	269	0	69	27	21	0	509	16	4	22	12	37	73	0	156	0	0	0	0	0
8efd20cf1717ffe09950f95d81ff67ca	0	0	0	0	0	0	0	0	0	21	0	0	0	0	9	0	1626	488	460	9	0	0	0	0	0	0	35	170	82	81	0	0	0	0	0	0	56	264	0	0	255	234	152	214	165
512766d03de66f222eccb7896351a9ea	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	511	162	130	61	0	0	0	0	0	0	80	489	115	139	6	0	0	0	0	0	154	896	0	11	372	315	243	274	237
81973cf2aecc8210a0ef3b4a0e2f06a3	8	0	4064	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	79	0	0	0	0	0	0	0
