seqid	P25812_1001	P25812_1002	P25812_1003	P25812_1004	P25812_1005	P25812_1006	P25812_1007	P25812_1008	P25812_1009	P25812_1010	P25812_1011	P25812_1012	P25812_1013	P25812_1014	P25812_1015	P25812_1016	P25812_1017	P25812_1018	P25812_1019	P25812_1020	P25812_1021	P25812_1022	P25812_1023	P25812_1024	P25812_1025	P25812_1026	P25812_1027	P25812_1028	P25812_1029	P25812_1030	P25812_1031	P25812_1032	P25812_1033	P25812_1034	P25812_1036	P25812_1037	P25812_1038	P25812_1039	P25812_1040	P25812_1041	P25812_1042	P25812_1043	P25812_1044	P25812_1045	P25812_1046	P25812_1047	P25812_1048	P25812_1049	P25812_1050	P25812_1051	P25812_1052	P25812_1053
bccea84bfe6aee410a2eb66a96ddd133	0	736	805	0	0	0	0	0	0	0	196	0	0	0	977	0	0	0	235	0	0	2285	0	0	0	0	0	0	2726	1921	349	0	224	938	0	366	2322	718	0	1075	0	0	0	0	0	0	0	563	2762	0	0	0
069e97501a5969bdee8eab85a51ac9bf	0	0	259	212	124	0	0	0	0	0	0	0	0	0	377	753	0	4486	1131	1629	0	0	0	0	0	108	193	0	579	207	0	0	1584	0	0	0	37	38	0	1005	0	0	0	4033	1060	45	0	0	980	0	0	0
eff6bf4227eeb68c0590111819c0fef3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	16	30
ad1e68e18a23133b1a271bafccbf4732	0	0	165	0	0	0	0	1455	145	0	73	6202	89	0	0	80	1106	2063	596	0	0	247	599	0	145	345	182	14	24	0	1054	992	56	0	0	44	22	1691	0	30	0	0	0	0	378	0	0	0	0	117	0	0
e9ab20708c644b5fd0cd7d7b4ea3242f	11	10	0	14	0	0	0	8083	1962	0	695	392	0	0	0	54	445	0	0	0	0	0	0	0	10	182	0	0	99	131	0	3181	0	0	0	0	0	0	0	0	0	0	0	2539	14	0	10	0	0	0	0	23
de44d53fa6d8d582f997d01579150d4b	0	0	0	0	0	0	1705	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	27	6103	8658	0	27	0	0	0	0	43	771	0
f3e53d43831ed50ae5262dba3e76792c	146	149	8	0	0	707	251	0	15	311	8	0	12	9170	0	15	0	0	64	0	25	0	0	0	49	0	0	0	0	0	95	0	0	1301	0	1569	109	169	15	36	0	97	69	0	0	578	0	0	796	1222	63	63
f495088afcb190a7fd9f201546813080	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16899d91615aeaaad811e8f704693c96	0	0	0	117	0	0	0	331	1225	0	992	552	568	0	4	7	1974	21	92	6991	35	8	4	17	0	721	2	32	21	21	3	743	366	0	0	0	0	64	0	0	0	0	0	0	15	0	0	1782	0	0	44	0
27f5fb56780f21bfd55e1acb4b58419c	522	59	0	1670	0	23	917	0	14	0	0	45	0	156	45	0	0	21	1586	0	0	31	0	0	249	5	0	0	1688	54	1270	0	13	128	0	3415	0	1896	720	0	212	0	0	0	0	0	0	0	67	489	0	0
b49b29f3e77c55a438d499c47ff48608	29	189	47	1081	164	0	0	0	76	28	362	94	102	4045	156	0	266	41	0	77	0	1351	0	382	727	0	72	24	555	309	0	0	195	390	179	859	669	0	56	33	99	0	0	0	1642	216	0	506	679	0	0	0
39e228aa7681410561b499d5da60d8c0	0	0	0	1809	0	0	0	0	0	0	0	196	0	269	0	0	0	3219	66	0	0	0	0	0	0	168	160	0	1197	0	0	0	862	0	0	0	0	0	40	87	48	17	0	9	6771	169	0	0	479	0	0	0
01553b54bb60025ecb2569c7d1d603e9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	15207
68cfd69cc6e25a49b67a413eb32de9fb	8	0	0	0	0	10	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	1538	0	0	9	312	1141
860053cf4e2e67d260983a62dcfd84a2	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b78cf2145d41b0fda1c290b2517a117d	34	44	376	385	153	60	220	0	0	30	0	82	17	6903	33	75	0	20	254	69	1098	0	108	0	934	0	705	0	619	158	0	9	0	78	0	525	299	0	100	422	57	0	0	0	120	473	0	0	62	0	0	10
f15034123e26cb2743b37d18680b161d	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	174	0	1073	116	0	1080	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	8	0	27	0	4879	7116	75	0	39	0	9	0	43
0aea0ef7f1206d8368f9515df55e4029	0	0	155	2	902	29	20	0	0	241	0	7	14	0	0	0	0	0	0	0	0	0	6	262	205	0	0	577	0	0	0	0	8	34	11202	189	658	9	60	24	6	9	34	0	0	0	0	0	0	0	0	0
516fca9e38e8790e32dd78bd9a4ec646	0	0	0	19	38	0	0	20	18	0	1166	3392	27	0	1769	266	0	2409	656	0	0	0	0	8	0	33	0	0	0	2219	0	290	57	0	0	0	0	0	0	596	0	0	0	0	583	0	0	0	744	0	0	0
cc06530ec05a1eee38cee1b1f9884844	25	0	292	677	0	0	0	2032	48	0	62	743	0	1081	16	356	244	4536	189	61	13	0	0	0	15	793	497	0	0	16	0	0	24	186	0	9	87	0	55	65	68	0	0	286	814	173	0	91	615	14	0	0
7c55822b774ebf95b25868f117d4c5c4	0	0	0	619	87	0	0	593	789	0	70	589	406	0	563	316	1245	3149	409	1450	21	743	9	0	0	217	330	11	0	0	0	548	751	34	0	25	0	0	0	606	0	0	0	94	256	0	0	7	0	0	0	0
4420c0bb4975195e42ab9c4f8742cac6	0	15	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
